freq,vout_pp,vin_pp,gain,gain_db
1.0,0.06031518682984886,0.0019183618721608693,31.440984990964715,29.949922865311716
1.584893,0.056431907921009744,0.0017404625647749659,32.42351146363561,30.217200942327764
2.511886,0.053758946639046616,0.0016415742681043445,32.74840967209258,30.303804292721225
3.981072,0.06348340181536787,0.0019140386820239907,33.167251222027375,30.414189606107406
6.309573,0.05996736995507128,0.0018006728777555047,33.30275626176986,30.44960357687753
10.0,0.06448650917016052,0.0019183985438345347,33.61476132131729,30.530600638631537
15.848932,0.06344813007893418,0.001890417457851795,33.56302588901948,30.517222158547078
25.118864,0.06382190031388073,0.0019039044190176343,33.52158841398729,30.506491788117906
39.810717,0.06146740957960017,0.0018731689619762716,32.81466372085809,30.321359160782183
63.095734,0.06337260039515098,0.0019085055285214014,33.20535332389022,30.424162114806677
100.0,0.061782785765256934,0.0019192381709595386,32.191307311467305,30.154772280918046
158.489319,0.0491102475777554,0.001640143152745532,29.942659270653827,29.525807366556492
251.188643,0.048170446464726006,0.0018729890483821525,25.718488053272175,28.204908671185574
398.107171,0.04142424362885081,0.0019008864437499017,21.79206641462112,26.765968276257638
630.957344,0.03261961438533106,0.001921184926262306,16.978903977137175,24.598193044372678
1000.0,0.01995269121300619,0.0019142486967851189,10.423249208170128,20.360062427667323
1584.893192,0.010954661125609434,0.0018995480637133749,5.766982860225428,15.218973213338185
2511.886432,0.0057366216035762375,0.0018946194410111666,3.027849012524952,9.622684294617748
3981.071706,0.0027549501600588827,0.001907535327209534,1.4442459443668612,3.192823133179293
6309.573445,0.0012168046083513447,0.0017000731213217754,0.7157366310252006,-2.904935105071277
10000.0,0.0007024624571528602,0.0019172590446723482,0.36638891291443,-8.721153534850972
