freq,vout_pp,vin_pp,gain,gain_db
1.0,0.0012207065368865845,0.045416798671021066,0.02687786397559272,-31.412104965692915
1.584893,0.0009955315490497534,0.040900766205247886,0.024340168691559107,-32.273528323631496
2.511886,0.0009186354819358613,0.03881767508851877,0.023665391599085466,-32.5177260944333
3.981072,0.0012763195996213855,0.04538033085755926,0.028124951394195963,-31.018164388634357
6.309573,0.0010939959333823108,0.042710856126516886,0.025614001511505814,-31.830451383685833
10.0,0.0009254456764387428,0.04540689602875025,0.020381170204912907,-33.81541768338645
15.848932,0.0011446354681548347,0.04487142900617003,0.025509226996034428,-31.866054031601298
25.118864,0.0011857228366391132,0.04498229219336099,0.026359769118526957,-31.5811679597008
39.810717,0.0010175204062654554,0.044369170819531054,0.022933049851306862,-32.790763697799946
63.095734,0.0011152097128015828,0.04521093600003904,0.024666813197599356,-32.157739101892794
100.0,0.0014203797498284897,0.045411263496641596,0.03127813763502824,-30.095182272671735
158.489319,0.0014263618216631964,0.038829727760545565,0.03673375797170811,-28.698692795527812
251.188643,0.0021211206419859325,0.04453196402510335,0.04763141910359544,-26.442129583423583
398.107171,0.0030332025931797996,0.045105076111030054,0.06724747755027191,-23.44648002771357
630.957344,0.0039015166370261934,0.04546838873328137,0.08580723323873606,-21.329522023151025
1000.0,0.004576520349532586,0.04536734392746459,0.10087697346465199,-19.924159120951344
1584.893192,0.005131700653899906,0.0451495110081577,0.11366016019470732,-18.887834723765522
2511.886432,0.0053433528813579805,0.045190192482854434,0.11824142779177797,-18.544606694284948
3981.071706,0.0054704966042111855,0.0454751309117925,0.12029644543128934,-18.394944103640967
6309.573445,0.0048468350819455466,0.040348867395466594,0.12012320034762894,-18.40746211507546
10000.0,0.00561476414751512,0.04547622802857933,0.12346591595034108,-18.16905834730798
