freq,vout_pp,vin_pp,gain,gain_db
1.0,0.003939973424376934,0.045619815556503705,0.0863653957455608,-21.2732046520641
1.584893,0.0032127393269504477,0.04074633530029779,0.07884731972268848,-22.06426130337391
2.511886,0.0034003855695114043,0.03892610827193504,0.08735488134998114,-21.174256436602295
3.981072,0.003725660881360506,0.04553898790091594,0.08181255344248813,-21.74360104821
6.309573,0.003439252347805738,0.04268643465667319,0.0805701477639824,-21.876516797362704
10.0,0.0032313288274450082,0.04549145796121124,0.07103155124639518,-22.970974014768654
15.848932,0.0037532042214815675,0.04477258136080777,0.0838281847373442,-21.532198763928218
25.118864,0.0035445833162017293,0.04501223687090788,0.07874710440112896,-22.075308132540364
39.810717,0.00344318026574178,0.044406736288936835,0.07753734125692971,-22.209781899240827
63.095734,0.003648161144312028,0.04528399920005748,0.08056181452073247,-21.877415211683918
100.0,0.003223866603808414,0.04557995490376442,0.0707299208745412,-23.007936555237627
158.489319,0.0025427774511917077,0.03884082483579028,0.0654666182281649,-23.679601852028952
251.188643,0.0025711774308516742,0.044507650745471326,0.05776933600822085,-24.766052482864993
398.107171,0.002733109802712279,0.045115413382218174,0.06058040030703807,-24.353357224697362
630.957344,0.0031138478548938487,0.04530185429480098,0.06873554964506622,-23.256371802765024
1000.0,0.0036796309815572458,0.045402363783852595,0.08104492090048208,-21.825483945491793
1584.893192,0.004430468643856831,0.04516163465431784,0.09810248627555468,-20.166399717422223
2511.886432,0.004861136064808182,0.04525621481785354,0.10741366869441471,-19.378808998270884
3981.071706,0.005360287436441097,0.045502961966601266,0.11780084646743427,-18.57703177759718
6309.573445,0.00483985075270489,0.040486263320123464,0.1195430340023321,-18.449514519360818
10000.0,0.0054804662996509965,0.045581583021595866,0.12023422479764326,-18.399437847150686
